,Name,Price,Unit,Packet Size,Supermarket,Comparable Price
1763,Citrovin bio Zitrone für Fischgerichte und Marinaden,1.89,100 Gramm,Schale 125 Gramm,aldi-nord,1.51
1764,Himbeeren frisch,1.55,100 Gramm,Schale 200 Gramm,aldi-nord,0.78
1765,Heidelbeeren frisch,0.22,Preis pro Stück,,aldi-nord,0.22
1766,Weißkohl frisch,0.69,100 Gramm,Netz 500 Gramm,aldi-nord,0.13799999999999998
1767,Zitronen frisch,1.09,Preis pro Stück, 1 Stück,aldi-nord,1.09
1768,Ananas frisch,1.89,100 Gramm,,aldi-nord,0.189
1769,Bio Orangen,1.65,100 Gramm,"Netz 2 KG Lane Late, Kl. 1",aldi-nord,0.08299999999999999
1770,Orangen,0.69,100 Gramm,Schale 600 Gramm,aldi-nord,0.11499999999999999
1771,Suppengrün,0.99,100 ml,Getränkekarton 1 L,aldi-nord,0.099
1772,"Thüringer Land Frische Fitmilch 1,5% Fett",1.49,100 Gramm,Packung 500 Gramm,aldi-nord,0.298
1773,Diamant Gelier Rohrzucker 1:1,2.99,100 Gramm,Packung 250 Gramm,aldi-nord,1.2
1774,Wonnemayer Feinkost Tzatziki,1.29,100 Gramm,Schale 500 Gramm,aldi-nord,0.258
1775,Akuta Komplett,2.79,Preis pro 100 Stück,Packung 40 Stück,aldi-nord,6.98
1776,Delikato Zaziki,1.19,100 Gramm,Becher 500 Gramm,aldi-nord,0.238
1777,Ofterdinger Joghurt Käse Salat herzhaft,0.95,100 Gramm,Becher 150 Gramm,aldi-nord,0.63
1778,Golden Seafood / Aldi Nord King Prawns Riesengarnelenschwänze provencal,2.99,100 Gramm,Packung 250 Gramm,aldi-nord,1.2
1779,Stolzenfels Sekt halbtrocken,2.79,100 ml,Flasche Glas 0.75 L,aldi-nord,0.372
1780,Vibelle Windeln junior 5 Für 11 - 25 kg,11.99,Preis pro 100 Stück,Beutel 70 Stück,aldi-nord,17.13
1781,Gut Drei Eichen Mettenden,1.99,100 Gramm,Packung 300 Gramm,aldi-nord,0.66
1782,Hofland Aldi Nord 10 bunte Eier,1.89,Preis pro Stück,Packung 10 Stück,aldi-nord,0.19
1783,Goldähren Brotbackmischung Eiweißbrot,1.99,100 Gramm,Packung 1000 Gramm,aldi-nord,0.199
1784,Tamara Pflaumenmus,0.99,100 Gramm,Glas 450 Gramm,aldi-nord,0.22
1785,Traders Joes Californische Pistazien ohne Salz,3.19,100 Gramm,Beutel 250 Gramm,aldi-nord,1.28
1786,Butella Pflanzenfett in der Stange,1.59,100 Gramm,Stange 1 KG,aldi-nord,0.159
1787,Hofburger / Aldi Nord Käse Snack in Würfeln 2 x 110 g Maasdamer und Butterkäse,1.99,100 Gramm,Packung 220 Gramm,aldi-nord,0.9
1788,Holstensegen Kartoffel Knuspertaschen Frischkäse Kräuter,1.89,100 Gramm,Packung 600 Gramm,aldi-nord,0.315
1789,Tillmans  Zwiebelmettwurst 2 Stück,1.65,Preis pro Stück,Packung 30 Stück,aldi-nord,0.06
