,Name,Price,Unit,Packet Size,Supermarket,Comparable Price
631,K Bio Gemüsemais zart & jung,1.29,100 ml,Glas 360 ML,kaufland,0.358
632,Lillet Blanc,14.49,100 ml,Flasche Glas 0.75 L,kaufland,1.932
633,K Purland Irish Beef Clubsteak,8.9,100 Gramm,Packung 424 Gramm,kaufland,2.0989999999999998
634,K Classic Lasagne Blätter mit Spinat,0.99,100 Gramm,Packung 500 Gramm,kaufland,0.198
635,K Classic Delikatess Rostbratwurst,1.99,100 Gramm,Packung 540 Gramm,kaufland,0.369
636,K Classic Linsen Eintopf mit Würstchen und magerem Schweinefleisch,0.89,100 Gramm,Dose 800 Gramm,kaufland,0.11100000000000002
637,K Classic Eukalyptus-Menthol Bonbons,0.75,100 Gramm,Packung 250 Gramm,kaufland,0.3
638,K Classic Färber-Distelöl,1.99,100 ml,Flasche Kunststoff 750 ML,kaufland,0.265
639,K Classic Klare Gemüse-Brühe ergibt 7 Liter,0.79,100 Gramm,Dose 545 Gramm,kaufland,0.145
640,K Classic Delikatessbohnen,1.89,100 Gramm,Packung 400 Gramm,kaufland,0.47300000000000003
641,"Purland Delikatess Leberkäse nach bayerischer Art, fein",1.89,100 Gramm,Packung 425 Gramm,kaufland,0.445
642,K Classic Gourmet Flakes mit feiner Zartbitter-Schokolade,1.24,100 Gramm,Packung 350 Gramm,kaufland,0.354
643,K Classic Pizza Vier Käse,0.65,100 Gramm,Packung 125 Gramm,kaufland,0.52
644,K Classic Camembert rund,1.24,100 Gramm,Packung 400 Gramm,kaufland,0.31
645,K Classic Pizza Capricciosa,0.89,100 Gramm,Packung 500 Gramm,kaufland,0.178
646,K Bio Konfitüre extra Aprikose,1.49,100 Gramm,Glas 340 Gramm,kaufland,0.44
647,K Bio Konfitüre extra Himbeer,1.49,100 Gramm,Glas 340 Gramm,kaufland,0.44
648,K Bio Buttergemüse,0.99,100 Gramm,Packung 300 Gramm,kaufland,0.33
649,K Bio Sellerie Salat in Streifen,0.99,100 ml,Glas 370 ML,kaufland,0.27
650,K Classic Jamon Serrano,1.99,100 Gramm,Packung 100 Gramm,kaufland,1.99
651,K Classic Schinken Pfefferbeißer,2.29,100 Gramm,Packung 300 Gramm,kaufland,0.76
652,K Classic Sahnepudding Vollmilchschokolade,1.29,100 Gramm,Becher 500 Gramm,kaufland,0.26
653,K Bio Dill,0.79,100 Gramm,Packung 50 Gramm,kaufland,1.58
654,K Classic Hähnchen Geschnetzeltes natur,1.79,100 Gramm,Packung 250 Gramm,kaufland,0.716
655,Du darfst Alaska Seelachsfilet 1% Fett,2.45,100 Gramm,Packung 375 Gramm,kaufland,0.65
656,Coca Cola Light,11.7,100 ml," 15 L, 10 x 1500 ml, Mehrwegflasche",kaufland,0.078
657,Weihenstephan Frischer Alpenschlagrahm ohne Zusatzstoffe,1.49,100 Gramm,Mehrwegflasche 500 Gramm,kaufland,0.3
658,Omnimax Land Diele 8 Königsberger Klopse in feiner Kapernsauce,2.99,100 Gramm,Dose 800 Gramm,kaufland,0.374
659,Schwip Schwap ohne Zucker,7.68,100 ml,"Kasten 12 L,  12 x 1 L",kaufland,0.064
660,Paprika rot,1.79,100 Gramm,Beutel 1 KG,kaufland,0.179
661,Schloss Küche Kartoffelsalat mit Ei und Gurke,1.99,100 Gramm,Becher 1000 Gramm,kaufland,0.199
662,Meica Curry King extra scharf,2.09,100 Gramm,Packung 220 Gramm,kaufland,0.95
663,K Classic Creme Fraiche 30 % Fett,0.49,100 Gramm,Becher 200 Gramm,kaufland,0.25
664,K Classic Dunkelrote Kidney Bohnen,0.39,100 ml,Dose 425 ML,kaufland,0.092
665,K Classic 9 Weizenbrötchen zum Fertigbacken,0.89,100 Gramm,Packung 540 Gramm,kaufland,0.16499999999999998
666,"K Classic Emmentaler in Scheiben, 45 % Fett",1.13,100 Gramm,Packung 150 Gramm,kaufland,0.75
667,Tri Top  Getränkesirup Orange-Mandarine,3.99,100 ml,Pet-Flasche 500 ML,kaufland,0.798
668,Tri Top Getränkesirup Schwarze Johannesbeere,3.99,100 ml,Pet-Flasche 500 ML,kaufland,0.798
669,Tri Top Getränkesirup Himbeere,3.99,100 ml,Pet-Flasche 500 ML,kaufland,0.798
670,Tri Top Getränkesirup Waldmeister,3.99,100 ml,Pet-Flasche 500 ML,kaufland,0.798
671,Pfanner Ice Tea Pfirsich,1.69,100 ml,Getränkekarton 2 L,kaufland,0.08499999999999999
672,Landliebe Eiscreme Bourbon Vanille,2.89,100 ml,Becher 750  ML,kaufland,0.385
673,WC Ente Aktiv-Gel,1.65,100 ml,Flasche Kunststoff 750 ML,kaufland,0.22000000000000003
674,Weight Watchers Ungarische Gulaschsuppe,1.59,100 ml,Dose 400 ML,kaufland,0.398
675,Darbo Naturrein Rosenmarillen,2.99,100 Gramm,Glas 450 Gramm,kaufland,0.66
676,Berentzen Fruchtige Waldfrucht,6.49,100 ml,Flasche Glas 700 ML,kaufland,0.9269999999999999
677,K Classic Puszta Salat fein sauer,0.59,100 Gramm,Glas 330 Gramm,kaufland,0.18
678,K Classic Delikatess-Senf Mittelscharf,0.49,100 ml,Tube 200 ML,kaufland,0.25
679,K Classic Trauben Zucker,0.79,100 Gramm,Packung 400 Gramm,kaufland,0.2
680,K Classic Speisequark 20 % Fett,0.45,100 Gramm,Becher 250 Gramm,kaufland,0.18
