,Name,Price,Unit,Packet Size,Supermarket,Comparable Price
173,ja! 4 Westfälische Mettenden,2.09,100 Gramm,Vakuum 300 Gramm,rewe,0.7
174,Brändle vita Rapsöl mit omega 3 Fettsäuren,2.59,100 ml,Flasche Glas 0.75 L,rewe,0.34500000000000003
175,Meica Eisbeinfleisch in Aspik,2.49,100 Gramm,Dose 200 Gramm,rewe,1.25
176,Oettinger Original Export,5.69,100 ml,Kasten 10 L,rewe,0.056999999999999995
177,"Salakis Schafskäse Natur, 50 % Fett",1.69,100 Gramm,Packung 200 Gramm,rewe,0.85
178,"Müller Müllermilch Schoko, 1,5 % Fett",0.66,100 Gramm,Flasche Kunststoff 400 Gramm,rewe,0.16499999999999998
179,Tillmans Best Burger vom Rind - 5 Stück,3.33,100 Gramm,Packung 500 Gramm,rewe,0.666
180,Miracoli Spaghetti Klassiker mit Tomatensauce,25.14,100 ml,"Karton 6 x 0,75L",rewe,0.5589999999999999
181,Rotkäppchen Sekt Alkoholfrei,0.99,100 Gramm,"Packung 450 Gramm, 9 Stück",rewe,0.22000000000000003
182,Coppenrath & Wiese Unsere Goldstücke Weizenbrötchen,0.79,100 ml,Getränkekarton 1 L,rewe,0.079
183,"Rewe entrahmte H-Milch höchstens 0,3% Fett",0.99,100 ml,Flasche Glas 500 ML,rewe,0.198
184,ja! Aceto Balsamico Di Modena,1.39,100 Gramm,Tafel 200 Gramm,rewe,0.7
185,ja! Schokolade Edel Rahm Mandel,1.99,100 Gramm,Packung 750 Gramm,rewe,0.265
186,Ja! Honey Wheat,0.25,100 Gramm,Becher 200 Gramm,rewe,0.13
187,ja! Schoko Dessert mit Sahne Schokolade,1.71,100 Gramm,Packung 150 Gramm,rewe,1.14
188,"ja! Delikatess Leichtschinken mild geräuchert, geschnitten",0.69,100 Gramm,Multipackung 600 Gramm,rewe,0.11499999999999999
189,"Ja! Vollmilch Joghurt 4 x 150 g,  3,5 % Fett",1.0,100 Gramm,Packung 250 Gramm,rewe,0.4
190,Krone Bismarckheringe in würziger Marinade,1.79,100 Gramm,Glas 500 Gramm,rewe,0.358
191,Bihophar  WabenQuell Gebirgs-Blüten-Honig cremig,3.99,100 Gramm,Glas 500 Gramm,rewe,0.798
192,Grafschafter Goldsaft Zuckerrübensirup,1.89,100 Gramm,Dosierflasche 500 Gramm,rewe,0.378
193,San Pellegrino Mineralwasser,5.94,100 ml,Pack 6 x 1L,rewe,0.099
194,Berchtesgadener Land Bergbauern Butter Gesamtfettgehalt: 82% Fett,2.79,100 Gramm,Packung 250 Gramm,rewe,1.12
195,Ja! American Sandwich Toast geschnitten,0.89,100 Gramm,Beutel 750 Gramm,rewe,0.119
196,ja! Delikatess Lachsschinken in Scheiben,1.13,100 Gramm,Packung 100 Gramm,rewe,1.13
197,Ja! Butterkekse,0.99,100 Gramm,Packung 400 Gramm,rewe,0.25
