,Name,Price,Unit,Packet Size,Supermarket,Comparable Price
1667,"top star aldi süd Sport Drink 6 x 0,5 L",1.79,100 ml,Pack 3  L,aldi-sued,0.06
1668,"top star aldi süd Sport Drink Orange,  6 x 0,5 L",1.79,100 ml,Pack 3  L,aldi-sued,0.06
1669,Cucina Lasagne Bolognese,2.99,100 Gramm,Packung 400 Gramm,aldi-sued,0.748
1670,Cucina Gnocchi Pomodoro,1.69,100 Gramm,Beutel 400 Gramm,aldi-sued,0.42300000000000004
1671,Landvogt Käsespätzle,1.79,100 Gramm,Packung 400 Gramm,aldi-sued,0.44800000000000006
1672,"Riggano Steinofen Pizza Cappricciosa, 2 x 400 g",2.69,100 Gramm,Packung 800 Gramm,aldi-sued,0.34
1673,Riggano Die Pizza-Frische Mozzarella,1.79,100 Gramm,Packung 400 Gramm,aldi-sued,0.45
1674,Heidegold / Aldi Süd Junge Ente,6.99,100 Gramm,Folie 2400 Gramm,aldi-sued,0.29100000000000004
1675,Be Light Paprika Lyoner Schlanke Scheibe,0.99,100 Gramm,Packung 100 Gramm,aldi-sued,0.99
1676,Desira Milch Drink Vanilla,0.55,100 ml,Flasche Kunststoff 400 ML,aldi-sued,0.13799999999999998
1677,Desira fettarmer Frucht Joghurt Erdbeere,0.29,100 Gramm,Becher 250 Gramm,aldi-sued,0.12
1678,Desira fettarmer Frucht Joghurt Brombeere,0.29,100 Gramm,Becher 250 Gramm,aldi-sued,0.12
1679,Choco Bistro Milch Creme Waffeln 3 x 65 g,0.65,100 Gramm,Packung 195 Gramm,aldi-sued,0.33
1680,alio Aldi Süd Klarspüler Citrus,0.99,100 ml,Flasche Kunststoff 1 L,aldi-sued,0.099
1681,Be Light  Kartoffel Chips Paprika Würzung crossig & pikant,0.99,100 Gramm,Beutel 150 Gramm,aldi-sued,0.66
1682,Geka Aldi Süd Putenschnitzel frisch Zum Braten oder für den Grill,3.29,100 Gramm,Kunststoffschale 500 Gramm,aldi-sued,0.658
1683,Sun Snacks Kartoffel Sticks Paprika,0.99,100 Gramm,Becher 120 Gramm,aldi-sued,0.83
1684,Choco Bistro Knusper Selection,2.29,100 Gramm,Packung 200 Gramm,aldi-sued,1.145
1685,"American Ribeye Steak Barbecue, 1 Steak",4.99,100 Gramm,Packung 300 Gramm,aldi-sued,1.6629999999999998
